,index,X,Y,Spatial Step,Event,Time Start,Time Span,Accuracy
0,0,1,1,3,SR,-0.8,0.1,0.41935483870967744
1,1,1,2,3,SR,-0.8,0.1,0.6774193548387096
2,2,1,3,3,SR,-0.8,0.1,0.6451612903225806
3,3,1,4,3,SR,-0.8,0.1,0.6774193548387096
4,4,1,5,3,SR,-0.8,0.1,0.5161290322580645
5,5,1,6,3,SR,-0.8,0.1,0.6129032258064516
6,6,1,7,3,SR,-0.8,0.1,0.5161290322580645
7,7,1,8,3,SR,-0.8,0.1,0.5161290322580645
8,8,2,1,3,SR,-0.8,0.1,0.5806451612903226
9,9,2,2,3,SR,-0.8,0.1,0.4838709677419355
10,10,2,3,3,SR,-0.8,0.1,0.5806451612903226
11,11,2,4,3,SR,-0.8,0.1,0.6451612903225806
12,12,2,5,3,SR,-0.8,0.1,0.5483870967741935
13,13,2,6,3,SR,-0.8,0.1,0.5483870967741935
14,14,2,7,3,SR,-0.8,0.1,0.5161290322580645
15,15,2,8,3,SR,-0.8,0.1,0.5483870967741935
16,16,3,1,3,SR,-0.8,0.1,0.5161290322580645
17,17,3,2,3,SR,-0.8,0.1,0.5161290322580645
18,18,3,3,3,SR,-0.8,0.1,0.4838709677419355
19,19,3,4,3,SR,-0.8,0.1,0.5483870967741935
20,20,3,5,3,SR,-0.8,0.1,0.41935483870967744
21,21,3,6,3,SR,-0.8,0.1,0.4838709677419355
22,22,3,7,3,SR,-0.8,0.1,0.3225806451612903
23,23,3,8,3,SR,-0.8,0.1,0.45161290322580644
24,24,4,1,3,SR,-0.8,0.1,0.6451612903225806
25,25,4,2,3,SR,-0.8,0.1,0.6129032258064516
26,26,4,3,3,SR,-0.8,0.1,0.5806451612903226
27,27,4,4,3,SR,-0.8,0.1,0.45161290322580644
28,28,4,5,3,SR,-0.8,0.1,0.2903225806451613
29,29,4,6,3,SR,-0.8,0.1,0.3548387096774194
30,30,4,7,3,SR,-0.8,0.1,0.25806451612903225
31,31,4,8,3,SR,-0.8,0.1,0.4838709677419355
32,32,5,1,3,SR,-0.8,0.1,0.6451612903225806
33,33,5,2,3,SR,-0.8,0.1,0.5806451612903226
34,34,5,3,3,SR,-0.8,0.1,0.5806451612903226
35,35,5,4,3,SR,-0.8,0.1,0.45161290322580644
36,36,5,5,3,SR,-0.8,0.1,0.3870967741935484
37,37,5,6,3,SR,-0.8,0.1,0.22580645161290322
38,38,5,7,3,SR,-0.8,0.1,0.22580645161290322
39,39,5,8,3,SR,-0.8,0.1,0.4838709677419355
40,40,6,1,3,SR,-0.8,0.1,0.7419354838709677
41,41,6,2,3,SR,-0.8,0.1,0.7096774193548387
42,42,6,3,3,SR,-0.8,0.1,0.5806451612903226
43,43,6,4,3,SR,-0.8,0.1,0.5483870967741935
44,44,6,5,3,SR,-0.8,0.1,0.4838709677419355
45,45,6,6,3,SR,-0.8,0.1,0.41935483870967744
46,46,6,7,3,SR,-0.8,0.1,0.5161290322580645
47,47,6,8,3,SR,-0.8,0.1,0.6451612903225806
48,48,7,1,3,SR,-0.8,0.1,0.6129032258064516
49,49,7,2,3,SR,-0.8,0.1,0.5806451612903226
50,50,7,3,3,SR,-0.8,0.1,0.5483870967741935
51,51,7,4,3,SR,-0.8,0.1,0.41935483870967744
52,52,7,5,3,SR,-0.8,0.1,0.5161290322580645
53,53,7,6,3,SR,-0.8,0.1,0.5161290322580645
54,54,7,7,3,SR,-0.8,0.1,0.6451612903225806
55,55,7,8,3,SR,-0.8,0.1,0.8387096774193549
56,56,8,1,3,SR,-0.8,0.1,0.5806451612903226
57,57,8,2,3,SR,-0.8,0.1,0.7096774193548387
58,58,8,3,3,SR,-0.8,0.1,0.4838709677419355
59,59,8,4,3,SR,-0.8,0.1,0.4838709677419355
60,60,8,5,3,SR,-0.8,0.1,0.8064516129032258
61,61,8,6,3,SR,-0.8,0.1,0.6774193548387096
62,62,8,7,3,SR,-0.8,0.1,0.7741935483870968
63,63,8,8,3,SR,-0.8,0.1,0.8064516129032258
64,0,1,1,3,SR,-0.7,0.1,0.7096774193548387
65,1,1,2,3,SR,-0.7,0.1,0.7419354838709677
66,2,1,3,3,SR,-0.7,0.1,0.7096774193548387
67,3,1,4,3,SR,-0.7,0.1,0.6451612903225806
68,4,1,5,3,SR,-0.7,0.1,0.5161290322580645
69,5,1,6,3,SR,-0.7,0.1,0.45161290322580644
70,6,1,7,3,SR,-0.7,0.1,0.41935483870967744
71,7,1,8,3,SR,-0.7,0.1,0.41935483870967744
72,8,2,1,3,SR,-0.7,0.1,0.5483870967741935
73,9,2,2,3,SR,-0.7,0.1,0.5806451612903226
74,10,2,3,3,SR,-0.7,0.1,0.5161290322580645
75,11,2,4,3,SR,-0.7,0.1,0.5806451612903226
76,12,2,5,3,SR,-0.7,0.1,0.5483870967741935
77,13,2,6,3,SR,-0.7,0.1,0.4838709677419355
78,14,2,7,3,SR,-0.7,0.1,0.45161290322580644
79,15,2,8,3,SR,-0.7,0.1,0.6451612903225806
80,16,3,1,3,SR,-0.7,0.1,0.4838709677419355
81,17,3,2,3,SR,-0.7,0.1,0.45161290322580644
82,18,3,3,3,SR,-0.7,0.1,0.4838709677419355
83,19,3,4,3,SR,-0.7,0.1,0.6129032258064516
84,20,3,5,3,SR,-0.7,0.1,0.4838709677419355
85,21,3,6,3,SR,-0.7,0.1,0.45161290322580644
86,22,3,7,3,SR,-0.7,0.1,0.4838709677419355
87,23,3,8,3,SR,-0.7,0.1,0.5161290322580645
88,24,4,1,3,SR,-0.7,0.1,0.41935483870967744
89,25,4,2,3,SR,-0.7,0.1,0.3548387096774194
90,26,4,3,3,SR,-0.7,0.1,0.41935483870967744
91,27,4,4,3,SR,-0.7,0.1,0.6129032258064516
92,28,4,5,3,SR,-0.7,0.1,0.4838709677419355
93,29,4,6,3,SR,-0.7,0.1,0.2903225806451613
94,30,4,7,3,SR,-0.7,0.1,0.4838709677419355
95,31,4,8,3,SR,-0.7,0.1,0.5483870967741935
96,32,5,1,3,SR,-0.7,0.1,0.45161290322580644
97,33,5,2,3,SR,-0.7,0.1,0.41935483870967744
